"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty26127","Oceana County, MI",32535
"cty21229","Washington County, KY",32533
"cty26115","Monroe County, MI",32527
"cty26057","Gratiot County, MI",32526
"cty39083","Knox County, OH",32524
"cty22055","Lafayette Parish, LA",32520
"cty18063","Hendricks County, IN",32513
"cty48479","Webb County, TX",32508
"cty48031","Blanco County, TX",32502
"cty05121","Randolph County, AR",32501
"cty29083","Henry County, MO",32498
"cty21033","Caldwell County, KY",32486
"cty39159","Union County, OH",32473
"cty06105","Trinity County, CA",32472
"cty20155","Reno County, KS",32471
"cty53071","Walla Walla County, WA",32463
"cty21149","McLean County, KY",32452
"cty29009","Barry County, MO",32452
"cty04009","Graham County, AZ",32451
"cty54049","Marion County, WV",32451
"cty18171","Warren County, IN",32451
"cty48141","El Paso County, TX",32450
"cty55051","Iron County, WI",32441
"cty08043","Fremont County, CO",32440
"cty40145","Wagoner County, OK",32437
"cty13311","White County, GA",32436
"cty19111","Lee County, IA",32422
"cty36003","Allegany County, NY",32421
"cty48489","Willacy County, TX",32414
"cty47015","Cannon County, TN",32412
"cty21223","Trimble County, KY",32403
"cty29209","Stone County, MO",32394
"cty48419","Shelby County, TX",32384
"cty17007","Boone County, IL",32383
"cty36013","Chautauqua County, NY",32382
"cty39147","Seneca County, OH",32380
"cty21001","Adair County, KY",32379
"cty05141","Van Buren County, AR",32369
"cty06111","Ventura County, CA",32349
"cty29059","Dallas County, MO",32347
"cty35037","Quay County, NM",32343
"cty26015","Barry County, MI",32341
"cty34039","Union County, NJ",32340
"cty48473","Waller County, TX",32340
"cty13117","Forsyth County, GA",32339
"cty36073","Orleans County, NY",32339
"cty51101","King William County, VA",32338
"cty29117","Livingston County, MO",32331
"cty18153","Sullivan County, IN",32327
"cty48129","Donley County, TX",32317
"cty18039","Elkhart County, IN",32316
"cty39171","Williams County, OH",32316
"cty29145","Newton County, MO",32308
"cty53063","Spokane County, WA",32294
"cty29229","Wright County, MO",32292
"cty54063","Monroe County, WV",32288
"cty13219","Oconee County, GA",32287
"cty06037","Los Angeles County, CA",32285
"cty36033","Franklin County, NY",32284
"cty42123","Warren County, PA",32278
"cty26093","Livingston County, MI",32248
"cty29159","Pettis County, MO",32218
"cty05145","White County, AR",32207
"cty23025","Somerset County, ME",32207
"cty19179","Wapello County, IA",32199
"cty36011","Cayuga County, NY",32198
"cty48441","Taylor County, TX",32195
"cty36023","Cortland County, NY",32192
"cty42121","Venango County, PA",32189
"cty16075","Payette County, ID",32186
"cty22093","St. James Parish, LA",32179
"cty51199","York County, VA",32173
"cty48241","Jasper County, TX",32171
"cty47127","Moore County, TN",32169
"cty51167","Russell County, VA",32163
"cty27053","Hennepin County, MN",32161
"cty24009","Calvert County, MD",32158
"cty41053","Polk County, OR",32157
"cty20059","Franklin County, KS",32147
"cty23009","Hancock County, ME",32142
"cty13057","Cherokee County, GA",32139
"cty39167","Washington County, OH",32134
"cty06095","Solano County, CA",32131
"cty53067","Thurston County, WA",32120
"cty18025","Crawford County, IN",32118
"cty26129","Ogemaw County, MI",32114
"cty53035","Kitsap County, WA",32113
"cty39161","Van Wert County, OH",32113
"cty26013","Baraga County, MI",32108
"cty22043","Grant Parish, LA",32106
"cty34033","Salem County, NJ",32106
"cty48119","Delta County, TX",32106
"cty36071","Orange County, NY",32104
"cty08025","Crowley County, CO",32101
"cty51003","Albemarle County, VA",32100
"cty48173","Glasscock County, TX",32098
"cty51685","Manassas Park city, VA",32098
"cty42003","Allegheny County, PA",32096
"cty26137","Otsego County, MI",32094
"cty36107","Tioga County, NY",32092
"cty23017","Oxford County, ME",32090
"cty35003","Catron County, NM",32090
"cty44007","Providence County, RI",32086
"cty26007","Alpena County, MI",32085
"cty29213","Taney County, MO",32081
"cty35059","Union County, NM",32078
"cty46075","Jones County, SD",32076
"cty29125","Maries County, MO",32075
"cty21059","Daviess County, KY",32075
"cty23015","Lincoln County, ME",32071
"cty26059","Hillsdale County, MI",32063
"cty40071","Kay County, OK",32060
"cty05105","Perry County, AR",32056
"cty20055","Finney County, KS",32055
"cty16079","Shoshone County, ID",32052
"cty32015","Lander County, NV",32043
"cty41007","Clatsop County, OR",32042
"cty39117","Morrow County, OH",32040
"cty26099","Macomb County, MI",32030
"cty40079","Le Flore County, OK",32027
"cty29207","Stoddard County, MO",32021
"cty26009","Antrim County, MI",32007
"cty05049","Fulton County, AR",32007
"cty29163","Pike County, MO",32003
"cty17145","Perry County, IL",32003
"cty21221","Trigg County, KY",31995
"cty29017","Bollinger County, MO",31988
"cty34031","Passaic County, NJ",31985
"cty48417","Shackelford County, TX",31978
"cty20001","Allen County, KS",31974
"cty01023","Choctaw County, AL",31969
"cty22115","Vernon Parish, LA",31962
"cty41013","Crook County, OR",31949
"cty26047","Emmet County, MI",31940
"cty20169","Saline County, KS",31936
"cty18101","Martin County, IN",31926
"cty05127","Scott County, AR",31926
"cty36007","Broome County, NY",31925
"cty29153","Ozark County, MO",31924
"cty08003","Alamosa County, CO",31921
"cty53019","Ferry County, WA",31916
"cty54083","Randolph County, WV",31916
"cty51133","Northumberland County, VA",31910
"cty48265","Kerr County, TX",31904
"cty17179","Tazewell County, IL",31898
"cty41059","Umatilla County, OR",31892
"cty48451","Tom Green County, TX",31888
"cty48267","Kimble County, TX",31888
"cty41035","Klamath County, OR",31870
"cty42013","Blair County, PA",31869
"cty18107","Montgomery County, IN",31869
"cty28111","Perry County, MS",31868
"cty54079","Putnam County, WV",31865
"cty36093","Schenectady County, NY",31863
"cty36089","St. Lawrence County, NY",31859
"cty16005","Bannock County, ID",31856
"cty53003","Asotin County, WA",31849
"cty18055","Greene County, IN",31847
"cty39165","Warren County, OH",31844
"cty18075","Jay County, IN",31841
"cty72005","Aguadilla Municipio, PR",31837
"cty26157","Tuscola County, MI",31836
"cty06069","San Benito County, CA",31834
"cty48189","Hale County, TX",31823
"cty18021","Clay County, IN",31821
"cty36021","Columbia County, NY",31821
"cty47187","Williamson County, TN",31815
"cty39135","Preble County, OH",31808
"cty17113","McLean County, IL",31806
"cty22047","Iberville Parish, LA",31804
"cty42053","Forest County, PA",31800
"cty29043","Christian County, MO",31796
"cty06073","San Diego County, CA",31795
"cty21039","Carlisle County, KY",31793
"cty18033","DeKalb County, IN",31787
"cty18137","Ripley County, IN",31786
"cty54071","Pendleton County, WV",31782
"cty37189","Watauga County, NC",31773
"cty53009","Clallam County, WA",31772
"cty26087","Lapeer County, MI",31772
"cty39109","Miami County, OH",31767
"cty05009","Boone County, AR",31758
"cty26105","Mason County, MI",31758
"cty20125","Montgomery County, KS",31754
"cty26051","Gladwin County, MI",31752
"cty17045","Edgar County, IL",31746
"cty22027","Claiborne Parish, LA",31744
"cty18117","Orange County, IN",31736
"cty21099","Hart County, KY",31733
"cty35009","Curry County, NM",31728
"cty16027","Canyon County, ID",31726
"cty20045","Douglas County, KS",31726
"cty40121","Pittsburg County, OK",31722
"cty40115","Ottawa County, OK",31693
"cty29223","Wayne County, MO",31686
"cty39133","Portage County, OH",31682
"cty40065","Jackson County, OK",31675
"cty48315","Marion County, TX",31675
"cty17123","Marshall County, IL",31670
"cty47103","Lincoln County, TN",31669
"cty26133","Osceola County, MI",31667
"cty48067","Cass County, TX",31660
"cty17057","Fulton County, IL",31654
"cty18029","Dearborn County, IN",31652
"cty36105","Sullivan County, NY",31649
"cty28019","Choctaw County, MS",31623
"cty51510","Alexandria city, VA",31621
"cty39149","Shelby County, OH",31621
"cty17087","Johnson County, IL",31618
"cty01027","Clay County, AL",31614
"cty36045","Jefferson County, NY",31606
"cty47161","Stewart County, TN",31602
"cty39029","Columbiana County, OH",31600
"cty29065","Dent County, MO",31599
"cty26091","Lenawee County, MI",31592
"cty22045","Iberia Parish, LA",31592
"cty40097","Mayes County, OK",31587
"cty54057","Mineral County, WV",31581
"cty72113","Ponce Municipio, PR",31579
"cty01039","Covington County, AL",31575
"cty41071","Yamhill County, OR",31574
"cty05137","Stone County, AR",31574
"cty06089","Shasta County, CA",31567
"cty48107","Crosby County, TX",31567
"cty48345","Motley County, TX",31558
"cty24001","Allegany County, MD",31554
"cty29029","Camden County, MO",31547
"cty36063","Niagara County, NY",31545
"cty51145","Powhatan County, VA",31543
"cty17025","Clay County, IL",31538
"cty51660","Harrisonburg city, VA",31532
"cty54109","Wyoming County, WV",31531
"cty24043","Washington County, MD",31516
"cty23013","Knox County, ME",31515
"cty48261","Kenedy County, TX",31514
"cty48327","Menard County, TX",31511
"cty18059","Hancock County, IN",31506
"cty31173","Thurston County, NE",31503
"cty21083","Graves County, KY",31502
"cty06007","Butte County, CA",31500
"cty26073","Isabella County, MI",31497
"cty29099","Jefferson County, MO",31495
"cty08105","Rio Grande County, CO",31495
"cty04003","Cochise County, AZ",31481
"cty20057","Ford County, KS",31481
"cty40013","Bryan County, OK",31477
"cty09001","Fairfield County, CT",31477
"cty39021","Champaign County, OH",31475
"cty18157","Tippecanoe County, IN",31473
"cty21141","Logan County, KY",31471
"cty36061","New York County, NY",31463
"cty18103","Miami County, IN",31453
"cty29127","Marion County, MO",31453
"cty42023","Cameron County, PA",31452
"cty47039","Decatur County, TN",31451
"cty36047","Kings County, NY",31448
"cty06103","Tehama County, CA",31440
"cty21031","Butler County, KY",31439
"cty21107","Hopkins County, KY",31439
"cty17129","Menard County, IL",31432
"cty35051","Sierra County, NM",31425
"cty26095","Luce County, MI",31415
"cty13249","Schley County, GA",31415
"cty51069","Frederick County, VA",31389
"cty53053","Pierce County, WA",31388
"cty37173","Swain County, NC",31387
"cty29215","Texas County, MO",31384
"cty26017","Bay County, MI",31384
"cty46085","Lyman County, SD",31382
"cty18135","Randolph County, IN",31379
"cty48201","Harris County, TX",31376
"cty28129","Smith County, MS",31376
"cty13135","Gwinnett County, GA",31375
"cty39143","Sandusky County, OH",31374
"cty48001","Anderson County, TX",31371
"cty29105","Laclede County, MO",31371
"cty06099","Stanislaus County, CA",31355
"cty48395","Robertson County, TX",31349
"cty05097","Montgomery County, AR",31326
"cty36035","Fulton County, NY",31325
"cty05013","Calhoun County, AR",31324
"cty18133","Putnam County, IN",31324
"cty26107","Mecosta County, MI",31323
"cty40123","Pontotoc County, OK",31319
"cty34005","Burlington County, NJ",31313
"cty17161","Rock Island County, IL",31310
"cty28153","Wayne County, MS",31306
"cty51119","Middlesex County, VA",31305
"cty54091","Taylor County, WV",31296
"cty48099","Coryell County, TX",31293
"cty40023","Choctaw County, OK",31292
"cty21203","Rockcastle County, KY",31291
"cty42049","Erie County, PA",31289
"cty48313","Madison County, TX",31287
"cty72047","Corozal Municipio, PR",31287
"cty29071","Franklin County, MO",31284
"cty17005","Bond County, IL",31283
"cty55001","Adams County, WI",31276
"cty06087","Santa Cruz County, CA",31262
"cty23019","Penobscot County, ME",31257
"cty20021","Cherokee County, KS",31248
"cty13177","Lee County, GA",31244
"cty48187","Guadalupe County, TX",31226
"cty26023","Branch County, MI",31217
"cty29161","Phelps County, MO",31215
"cty47181","Wayne County, TN",31210
"cty15007","Kauai County, HI",31207
"cty24037","St. Mary's County, MD",31206
"cty51840","Winchester city, VA",31205
"cty05047","Franklin County, AR",31195
"cty12085","Martin County, FL",31194
"cty22081","Red River Parish, LA",31189
"cty53069","Wahkiakum County, WA",31185
"cty28141","Tishomingo County, MS",31182
"cty36075","Oswego County, NY",31180
"cty51061","Fauquier County, VA",31168
"cty40147","Washington County, OK",31156
"cty51185","Tazewell County, VA",31154
"cty13085","Dawson County, GA",31153
"cty30005","Blaine County, MT",31151
"cty41019","Douglas County, OR",31144
"cty17137","Morgan County, IL",31144
"cty18071","Jackson County, IN",31139
"cty29131","Miller County, MO",31135
"cty06033","Lake County, CA",31134
"cty05115","Pope County, AR",31123
"cty37055","Dare County, NC",31119
"cty23011","Kennebec County, ME",31106
"cty29141","Morgan County, MO",31100
"cty05081","Little River County, AR",31085
"cty17199","Williamson County, IL",31080
"cty48139","Ellis County, TX",31079
"cty06067","Sacramento County, CA",31078
"cty17101","Lawrence County, IL",31073
"cty29119","McDonald County, MO",31067
"cty24017","Charles County, MD",31062
"cty08001","Adams County, CO",31061
"cty01117","Shelby County, AL",31049
"cty17077","Jackson County, IL",31048
"cty37121","Mitchell County, NC",31045
"cty05109","Pike County, AR",31045
"cty53027","Grays Harbor County, WA",31042
"cty06115","Yuba County, CA",31039
"cty22107","Tensas Parish, LA",31037
"cty40075","Kiowa County, OK",31029
"cty18081","Johnson County, IN",31021
"cty01043","Cullman County, AL",31018
"cty21035","Calloway County, KY",31011
"cty32019","Lyon County, NV",31008
"cty29109","Lawrence County, MO",31008
"cty21093","Hardin County, KY",31006
"cty22019","Calcasieu Parish, LA",30996
"cty01041","Crenshaw County, AL",30990
"cty13103","Effingham County, GA",30987
"cty54059","Mingo County, WV",30982
"cty38079","Rolette County, ND",30967
"cty29097","Jasper County, MO",30964
"cty39091","Logan County, OH",30963
"cty40089","McCurtain County, OK",30949
"cty29179","Reynolds County, MO",30944
"cty51678","Lexington city, VA",30935
"cty51063","Floyd County, VA",30931
"cty22103","St. Tammany Parish, LA",30930
"cty40113","Osage County, OK",30929
"cty26111","Midland County, MI",30928
"cty29113","Lincoln County, MO",30919
"cty47083","Houston County, TN",30904
"cty40019","Carter County, OK",30899
"cty05005","Baxter County, AR",30898
"cty06047","Merced County, CA",30889
"cty26067","Ionia County, MI",30883
"cty54075","Pocahontas County, WV",30877
"cty30059","Meagher County, MT",30871
"cty41069","Wheeler County, OR",30862
"cty23027","Waldo County, ME",30842
"cty51009","Amherst County, VA",30839
"cty08041","El Paso County, CO",30833
"cty29085","Hickory County, MO",30826
"cty54087","Roane County, WV",30819
"cty30087","Rosebud County, MT",30817
"cty26027","Cass County, MI",30809
"cty39163","Vinton County, OH",30802
"cty48055","Caldwell County, TX",30797
"cty53077","Yakima County, WA",30794
"cty23001","Androscoggin County, ME",30781
"cty48167","Galveston County, TX",30775
"cty51141","Patrick County, VA",30775
"cty48213","Henderson County, TX",30771
"cty17029","Coles County, IL",30768
"cty17197","Will County, IL",30763
"cty41033","Josephine County, OR",30756
"cty48477","Washington County, TX",30746
"cty54043","Lincoln County, WV",30741
"cty06053","Monterey County, CA",30740
"cty39105","Meigs County, OH",30740
"cty05019","Clark County, AR",30730
"cty47043","Dickson County, TN",30721
"cty40091","McIntosh County, OK",30719
"cty29217","Vernon County, MO",30717
"cty12035","Flagler County, FL",30708
"cty47071","Hardin County, TN",30706
"cty05075","Lawrence County, AR",30705
"cty02170","Matanuska-Susitna Borough, AK",30704
"cty40005","Atoka County, OK",30700
"cty37113","Macon County, NC",30697
"cty17097","Lake County, IL",30693
"cty48147","Fannin County, TX",30690
"cty48183","Gregg County, TX",30685
"cty26135","Oscoda County, MI",30683
"cty51005","Alleghany County, VA",30681
"cty26005","Allegan County, MI",30679
"cty06077","San Joaquin County, CA",30671
"cty51019","Bedford County, VA",30666
"cty05129","Searcy County, AR",30665
"cty48305","Lynn County, TX",30665
"cty26045","Eaton County, MI",30660
"cty12087","Monroe County, FL",30651
"cty48019","Bandera County, TX",30645
"cty29221","Washington County, MO",30643
"cty25025","Suffolk County, MA",30635
"cty21187","Owen County, KY",30633
"cty06021","Glenn County, CA",30630
"cty06071","San Bernardino County, CA",30626
"cty12015","Charlotte County, FL",30624
"cty12117","Seminole County, FL",30608
"cty21029","Bullitt County, KY",30598
"cty35045","San Juan County, NM",30597
"cty24025","Harford County, MD",30597
"cty35029","Luna County, NM",30594
"cty48485","Wichita County, TX",30593
"cty51115","Mathews County, VA",30587
"cty47111","Macon County, TN",30584
"cty21009","Barren County, KY",30584
"cty36015","Chemung County, NY",30580
"cty15001","Hawaii County, HI",30579
"cty13291","Union County, GA",30578
"cty09015","Windham County, CT",30576
"cty05143","Washington County, AR",30574
"cty29173","Ralls County, MO",30568
"cty05053","Grant County, AR",30565
"cty32510","Carson City, NV",30558
"cty51125","Nelson County, VA",30538
"cty02090","Fairbanks North Star Borough, AK",30535
"cty09009","New Haven County, CT",30534
"cty12021","Collier County, FL",30530
"cty21011","Bath County, KY",30523
"cty48225","Houston County, TX",30515
"cty17095","Knox County, IL",30506
"cty41043","Linn County, OR",30500
"cty18155","Switzerland County, IN",30494
"cty28079","Leake County, MS",30493
"cty48471","Walker County, TX",30488
"cty22077","Pointe Coupee Parish, LA",30485
"cty48455","Trinity County, TX",30485
"cty48073","Cherokee County, TX",30484
"cty47165","Sumner County, TN",30474
"cty26123","Newaygo County, MI",30468
"cty46007","Bennett County, SD",30458
"cty21061","Edmonson County, KY",30448
"cty22101","St. Mary Parish, LA",30445
"cty41055","Sherman County, OR",30444
"cty48041","Brazos County, TX",30438
"cty39115","Morgan County, OH",30431
"cty48005","Angelina County, TX",30414
"cty13073","Columbia County, GA",30401
"cty51570","Colonial Heights city, VA",30395
"cty39033","Crawford County, OH",30392
"cty35019","Guadalupe County, NM",30387
"cty28131","Stone County, MS",30384
"cty26155","Shiawassee County, MI",30375
"cty16025","Camas County, ID",30373
"cty48209","Hays County, TX",30369
"cty35013","Do±íáüna County, NM",30364
"cty26019","Benzie County, MI",30359
"cty26031","Cheboygan County, MI",30351
"cty26143","Roscommon County, MI",30346
"cty21015","Boone County, KY",30340
"cty40031","Comanche County, OK",30333
"cty08065","Lake County, CO",30319
"cty25013","Hampden County, MA",30317
"cty54065","Morgan County, WV",30314
"cty05117","Prairie County, AR",30309
"cty48487","Wilbarger County, TX",30308
"cty39031","Coshocton County, OH",30308
"cty40037","Creek County, OK",30295
"cty09011","New London County, CT",30294
"cty41039","Lane County, OR",30287
"cty48185","Grimes County, TX",30284
"cty26125","Oakland County, MI",30278
"cty39081","Jefferson County, OH",30277
"cty29019","Boone County, MO",30265
"cty26033","Chippewa County, MI",30253
"cty18017","Cass County, IN",30251
"cty17151","Pope County, IL",30237
"cty40015","Caddo County, OK",30229
"cty06107","Tulare County, CA",30228
"cty13281","Towns County, GA",30228
"cty17121","Marion County, IL",30225
"cty37177","Tyrrell County, NC",30211
"cty17177","Stephenson County, IL",30203
"cty39045","Fairfield County, OH",30191
"cty41029","Jackson County, OR",30187
"cty32031","Washoe County, NV",30180
"cty01059","Franklin County, AL",30173
"cty22013","Bienville Parish, LA",30166
"cty54027","Hampshire County, WV",30165
"cty41011","Coos County, OR",30164
"cty18139","Rush County, IN",30163
"cty18149","Starke County, IN",30162
"cty41041","Lincoln County, OR",30161
"cty21085","Grayson County, KY",30160
"cty39127","Perry County, OH",30154
"cty12049","Hardee County, FL",30141
"cty08023","Costilla County, CO",30140
"cty06065","Riverside County, CA",30136
"cty22111","Union Parish, LA",30134
"cty39001","Adams County, OH",30134
"cty53013","Columbia County, WA",30126
"cty01049","DeKalb County, AL",30122
"cty39119","Muskingum County, OH",30121
"cty72057","Guayama Municipio, PR",30120
"cty21217","Taylor County, KY",30119
"cty04007","Gila County, AZ",30111
"cty18119","Owen County, IN",30105
"cty48203","Harrison County, TX",30099
"cty32023","Nye County, NV",30088
"cty51031","Campbell County, VA",30081
"cty24003","Anne Arundel County, MD",30079
"cty25003","Berkshire County, MA",30067
"cty51041","Chesterfield County, VA",30058
"cty05089","Marion County, AR",30057
"cty24041","Talbot County, MD",30055
"cty47021","Cheatham County, TN",30054
"cty40135","Sequoyah County, OK",30044
"cty47007","Bledsoe County, TN",30037
"cty53045","Mason County, WA",30026
"cty28045","Hancock County, MS",30026
"cty29013","Bates County, MO",30025
"cty28085","Lincoln County, MS",30024
"cty54009","Brooke County, WV",30022
"cty18175","Washington County, IN",30019
"cty21109","Jackson County, KY",30019
"cty54031","Hardy County, WV",30015
"cty28147","Walthall County, MS",30013
"cty55113","Sawyer County, WI",29996
"cty01115","St. Clair County, AL",29990
"cty05029","Conway County, AR",29988
"cty48245","Jefferson County, TX",29984
"cty51720","Norton city, VA",29978
"cty21043","Carter County, KY",29958
"cty54029","Hancock County, WV",29950
"cty40125","Pottawatomie County, OK",29949
"cty29007","Audrain County, MO",29944
"cty28091","Marion County, MS",29942
"cty21179","Nelson County, KY",29939
"cty01079","Lawrence County, AL",29936
"cty06031","Kings County, CA",29934
"cty29077","Greene County, MO",29929
"cty51169","Scott County, VA",29928
"cty13101","Echols County, GA",29918
"cty18169","Wabash County, IN",29916
"cty41051","Multnomah County, OR",29908
"cty47133","Overton County, TN",29900
"cty48423","Smith County, TX",29898
"cty01029","Cleburne County, AL",29895
"cty35055","Taos County, NM",29884
"cty05045","Faulkner County, AR",29882
"cty01077","Lauderdale County, AL",29875
"cty39043","Erie County, OH",29872
"cty29123","Madison County, MO",29870
"cty22127","Winn Parish, LA",29866
"cty05061","Howard County, AR",29866
"cty54089","Summers County, WV",29841
"cty21139","Livingston County, KY",29833
"cty40021","Cherokee County, OK",29831
"cty26147","St. Clair County, MI",29816
"cty21135","Lewis County, KY",29816
"cty13241","Rabun County, GA",29813
"cty29225","Webster County, MO",29812
"cty48351","Newton County, TX",29808
"cty51121","Montgomery County, VA",29800
"cty12086","Miami-Dade County, FL",29796
"cty47023","Chester County, TN",29795
"cty22051","Jefferson Parish, LA",29792
"cty53015","Cowlitz County, WA",29792
"cty18011","Boone County, IN",29784
"cty51530","Buena Vista city, VA",29784
"cty40133","Seminole County, OK",29773
"cty17019","Champaign County, IL",29773
"cty28007","Attala County, MS",29772
"cty48405","San Augustine County, TX",29771
"cty48021","Bastrop County, TX",29767
"cty41047","Marion County, OR",29761
"cty09003","Hartford County, CT",29759
"cty12121","Suwannee County, FL",29759
"cty22029","Concordia Parish, LA",29755
"cty21105","Hickman County, KY",29752
"cty21057","Cumberland County, KY",29743
"cty48349","Navarro County, TX",29741
"cty21089","Greenup County, KY",29741
"cty29035","Carter County, MO",29729
"cty05055","Greene County, AR",29727
"cty51775","Salem city, VA",29726
"cty02130","Ketchikan Gateway Borough, AK",29714
"cty22061","Lincoln Parish, LA",29710
"cty06039","Madera County, CA",29704
"cty47147","Robertson County, TN",29704
"cty17091","Kankakee County, IL",29690
"cty54035","Jackson County, WV",29686
"cty22105","Tangipahoa Parish, LA",29675
"cty04005","Coconino County, AZ",29673
"cty29031","Cape Girardeau County, MO",29673
"cty13003","Atkinson County, GA",29670
"cty17089","Kane County, IL",29667
"cty48181","Grayson County, TX",29666
"cty21129","Lee County, KY",29657
"cty22049","Jackson Parish, LA",29649
"cty48343","Morris County, TX",29647
"cty05063","Independence County, AR",29647
"cty54025","Greenbrier County, WV",29631
"cty47041","DeKalb County, TN",29622
"cty51139","Page County, VA",29620
"cty05031","Craighead County, AR",29620
"cty55105","Rock County, WI",29610
"cty47027","Clay County, TN",29599
"cty39007","Ashtabula County, OH",29586
"cty21211","Shelby County, KY",29584
"cty51007","Amelia County, VA",29583
"cty33019","Sullivan County, NH",29582
"cty13047","Catoosa County, GA",29568
"cty23023","Sagadahoc County, ME",29560
"cty48387","Red River County, TX",29556
"cty36067","Onondaga County, NY",29553
"cty22025","Catahoula Parish, LA",29550
"cty40111","Okmulgee County, OK",29544
"cty26035","Clare County, MI",29533
"cty21161","Mason County, KY",29532
"cty21005","Anderson County, KY",29532
"cty39097","Madison County, OH",29519
"cty04015","Mohave County, AZ",29513
"cty48029","Bexar County, TX",29509
"cty22119","Webster Parish, LA",29509
"cty13167","Johnson County, GA",29506
"cty22037","East Feliciana Parish, LA",29505
"cty12019","Clay County, FL",29502
"cty48303","Lubbock County, TX",29500
"cty48053","Burnet County, TX",29499
"cty51011","Appomattox County, VA",29488
"cty18079","Jennings County, IN",29487
"cty28109","Pearl River County, MS",29481
"cty54023","Grant County, WV",29480
"cty24005","Baltimore County, MD",29472
"cty01057","Fayette County, AL",29469
"cty25007","Dukes County, MA",29454
"cty47061","Grundy County, TN",29448
"cty21163","Meade County, KY",29443
"cty47081","Hickman County, TN",29442
"cty72127","San Juan Municipio, PR",29425
"cty47051","Franklin County, TN",29420
"cty47189","Wilson County, TN",29420
"cty28031","Covington County, MS",29410
"cty54081","Raleigh County, WV",29408
"cty48347","Nacogdoches County, TX",29408
"cty21101","Henderson County, KY",29402
"cty26001","Alcona County, MI",29397
"cty72123","Salinas Municipio, PR",29395
"cty35035","Otero County, NM",29389
"cty51580","Covington city, VA",29387
"cty21045","Casey County, KY",29384
"cty01025","Clarke County, AL",29377
"cty21175","Morgan County, KY",29372
"cty17119","Madison County, IL",29364
"cty22041","Franklin Parish, LA",29346
"cty54107","Wood County, WV",29340
"cty24029","Kent County, MD",29331
"cty01099","Monroe County, AL",29328
"cty47017","Carroll County, TN",29321
"cty72039","Ciales Municipio, PR",29320
"cty31055","Douglas County, NE",29315
"cty29073","Gasconade County, MO",29312
"cty21133","Letcher County, KY",29312
"cty30035","Glacier County, MT",29297
"cty12053","Hernando County, FL",29281
"cty51067","Franklin County, VA",29281
"cty06023","Humboldt County, CA",29268
"cty05033","Crawford County, AR",29250
"cty28121","Rankin County, MS",29222
"cty54099","Wayne County, WV",29220
"cty48257","Kaufman County, TX",29217
"cty37099","Jackson County, NC",29208
"cty01071","Jackson County, AL",29201
"cty39015","Brown County, OH",29200
"cty48439","Tarrant County, TX",29196
"cty37087","Haywood County, NC",29194
"cty18023","Clinton County, IN",29193
"cty26039","Crawford County, MI",29191
"cty35057","Torrance County, NM",29186
"cty01009","Blount County, AL",29181
"cty40143","Tulsa County, OK",29180
"cty54053","Mason County, WV",29170
"cty48293","Limestone County, TX",29165
"cty51820","Waynesboro city, VA",29162
"cty21195","Pike County, KY",29146
"cty12097","Osceola County, FL",29145
"cty21053","Clinton County, KY",29144
"cty21227","Warren County, KY",29137
"cty37199","Yancey County, NC",29131
"cty39025","Clermont County, OH",29126
"cty13123","Gilmer County, GA",29123
"cty20103","Leavenworth County, KS",29120
"cty12003","Baker County, FL",29112
"cty39099","Mahoning County, OH",29112
"cty22015","Bossier Parish, LA",29101
"cty46095","Mellette County, SD",29101
"cty29195","Saline County, MO",29093
"cty48217","Hill County, TX",29093
"cty01133","Winston County, AL",29078
"cty37061","Duplin County, NC",29069
"cty24047","Worcester County, MD",29069
"cty21237","Wolfe County, KY",29063
"cty51177","Spotsylvania County, VA",29063
"cty04013","Maricopa County, AZ",29046
"cty26149","St. Joseph County, MI",29041
"cty13257","Stephens County, GA",29035
"cty47003","Bedford County, TN",29031
"cty29027","Callaway County, MO",29024
"cty37089","Henderson County, NC",29016
"cty39003","Allen County, OH",29016
"cty22125","West Feliciana Parish, LA",29005
"cty18105","Monroe County, IN",28998
"cty12113","Santa Rosa County, FL",28994
"cty39079","Jackson County, OH",28991
"cty17125","Mason County, IL",28988
"cty21103","Henry County, KY",28987
"cty51810","Virginia Beach city, VA",28980
"cty17127","Massac County, IL",28976
"cty06015","Del Norte County, CA",28969
"cty18043","Floyd County, IN",28969
"cty47115","Marion County, TN",28967
"cty01093","Marion County, AL",28960
"cty01021","Chilton County, AL",28949
"cty21041","Carroll County, KY",28947
"cty35049","Santa Fe County, NM",28945
"cty28015","Carroll County, MS",28938
"cty05083","Logan County, AR",28938
"cty37073","Gates County, NC",28917
"cty13119","Franklin County, GA",28914
"cty13049","Charlton County, GA",28892
"cty18013","Brown County, IN",28891
"cty54037","Jefferson County, WV",28890
"cty05125","Saline County, AR",28885
"cty05149","Yell County, AR",28883
"cty51045","Craig County, VA",28872
"cty51001","Accomack County, VA",28871
"cty51113","Madison County, VA",28865
"cty47077","Henderson County, TN",28861
"cty28013","Calhoun County, MS",28854
"cty26029","Charlevoix County, MI",28853
"cty26085","Lake County, MI",28851
"cty18069","Huntington County, IN",28850
"cty13137","Habersham County, GA",28850
"cty39089","Licking County, OH",28849
"cty21003","Allen County, KY",28839
"cty55101","Racine County, WI",28835
"cty21171","Monroe County, KY",28814
"cty12115","Sarasota County, FL",28812
"cty40041","Delaware County, OK",28803
"cty28155","Webster County, MS",28802
