"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty31183","Wheeler County, NE",40588
"cty08125","Yuma County, CO",40556
"cty48415","Scurry County, TX",40552
"cty30007","Broadwater County, MT",40535
"cty30079","Prairie County, MT",40533
"cty30037","Golden Valley County, MT",40531
"cty32033","White Pine County, NV",40484
"cty72111","Penuelas Municipio, PR",40483
"cty27169","Winona County, MN",40475
"cty31053","Dodge County, NE",40472
"cty53037","Kittitas County, WA",40452
"cty16077","Power County, ID",40398
"cty20113","McPherson County, KS",40397
"cty29151","Osage County, MO",40389
"cty48329","Midland County, TX",40346
"cty48033","Borden County, TX",40342
"cty29063","DeKalb County, MO",40322
"cty19029","Cass County, IA",40307
"cty19177","Van Buren County, IA",40301
"cty30105","Valley County, MT",40290
"cty31031","Cherry County, NE",40277
"cty40153","Woodward County, OK",40261
"cty17079","Jasper County, IL",40245
"cty22123","West Carroll Parish, LA",40233
"cty16021","Boundary County, ID",40227
"cty20127","Morris County, KS",40220
"cty38017","Cass County, ND",40207
"cty42031","Clarion County, PA",40181
"cty08021","Conejos County, CO",40153
"cty20085","Jackson County, KS",40119
"cty72013","Arecibo Municipio, PR",40112
"cty27047","Freeborn County, MN",40090
"cty46091","Marshall County, SD",40081
"cty55109","St. Croix County, WI",40078
"cty19137","Montgomery County, IA",40068
"cty20047","Edwards County, KS",40060
"cty40151","Woods County, OK",40057
"cty27013","Blue Earth County, MN",40056
"cty39075","Holmes County, OH",40051
"cty20027","Clay County, KS",40051
"cty56035","Sublette County, WY",40014
"cty27105","Nobles County, MN",40010
"cty19073","Greene County, IA",39998
"cty56045","Weston County, WY",39996
"cty20165","Rush County, KS",39996
"cty48403","Sabine County, TX",39985
"cty38035","Grand Forks County, ND",39972
"cty49049","Utah County, UT",39935
"cty48237","Jack County, TX",39929
"cty42063","Indiana County, PA",39917
"cty27139","Scott County, MN",39909
"cty46071","Jackson County, SD",39892
"cty49041","Sevier County, UT",39885
"cty51600","Fairfax city, VA",39835
"cty19159","Ringgold County, IA",39825
"cty29147","Nodaway County, MO",39812
"cty30045","Judith Basin County, MT",39803
"cty40055","Greer County, OK",39794
"cty29033","Carroll County, MO",39763
"cty31019","Buffalo County, NE",39761
"cty31025","Cass County, NE",39749
"cty26141","Presque Isle County, MI",39740
"cty20073","Greenwood County, KS",39727
"cty31119","Madison County, NE",39726
"cty19051","Davis County, IA",39725
"cty30011","Carter County, MT",39701
"cty56001","Albany County, WY",39688
"cty27027","Clay County, MN",39671
"cty18007","Benton County, IN",39671
"cty22023","Cameron Parish, LA",39666
"cty29103","Knox County, MO",39662
"cty55061","Kewaunee County, WI",39641
"cty56025","Natrona County, WY",39585
"cty42117","Tioga County, PA",39575
"cty55141","Wood County, WI",39546
"cty08019","Clear Creek County, CO",39534
"cty30081","Ravalli County, MT",39530
"cty49005","Cache County, UT",39520
"cty42105","Potter County, PA",39509
"cty48023","Baylor County, TX",39470
"cty22085","Sabine Parish, LA",39438
"cty26083","Keweenaw County, MI",39436
"cty29005","Atchison County, MO",39429
"cty48233","Hutchinson County, TX",39429
"cty16003","Adams County, ID",39429
"cty48059","Callahan County, TX",39417
"cty48505","Zapata County, TX",39408
"cty56037","Sweetwater County, WY",39389
"cty17065","Hamilton County, IL",39388
"cty08095","Phillips County, CO",39375
"cty48047","Brooks County, TX",39365
"cty46035","Davison County, SD",39359
"cty19135","Monroe County, IA",39350
"cty08113","San Miguel County, CO",39333
"cty16023","Butte County, ID",39280
"cty48333","Mills County, TX",39280
"cty20031","Coffey County, KS",39246
"cty08067","La Plata County, CO",39211
"cty20089","Jewell County, KS",39173
"cty39067","Harrison County, OH",39170
"cty48043","Brewster County, TX",39148
"cty27163","Washington County, MN",39145
"cty39111","Monroe County, OH",39139
"cty08103","Rio Blanco County, CO",39137
"cty27075","Lake County, MN",39131
"cty55017","Chippewa County, WI",39090
"cty27147","Steele County, MN",39090
"cty19021","Buena Vista County, IA",39087
"cty20145","Pawnee County, KS",39086
"cty31111","Lincoln County, NE",39074
"cty46005","Beadle County, SD",39063
"cty31067","Gage County, NE",39061
"cty17193","White County, IL",39052
"cty26063","Huron County, MI",39052
"cty35015","Eddy County, NM",39048
"cty19053","Decatur County, IA",39034
"cty49001","Beaver County, UT",39029
"cty08029","Delta County, CO",39020
"cty32013","Humboldt County, NV",39007
"cty19197","Wright County, IA",39007
"cty29205","Shelby County, MO",38976
"cty20141","Osborne County, KS",38965
"cty49037","San Juan County, UT",38951
"cty48195","Hansford County, TX",38939
"cty48255","Karnes County, TX",38919
"cty26109","Menominee County, MI",38914
"cty36049","Lewis County, NY",38898
"cty17133","Monroe County, IL",38894
"cty17041","Douglas County, IL",38891
"cty48017","Bailey County, TX",38887
"cty08081","Moffat County, CO",38862
"cty17047","Edwards County, IL",38855
"cty19145","Page County, IA",38855
"cty06075","San Francisco County, CA",38852
"cty16061","Lewis County, ID",38839
"cty51107","Loudoun County, VA",38828
"cty46129","Walworth County, SD",38811
"cty48337","Montague County, TX",38783
"cty35025","Lea County, NM",38776
"cty49039","Sanpete County, UT",38757
"cty19117","Lucas County, IA",38752
"cty46029","Codington County, SD",38751
"cty17071","Henderson County, IL",38747
"cty48287","Lee County, TX",38737
"cty27031","Cook County, MN",38713
"cty27005","Becker County, MN",38701
"cty19067","Floyd County, IA",38678
"cty46093","Meade County, SD",38670
"cty19003","Adams County, IA",38658
"cty08035","Douglas County, CO",38657
"cty06091","Sierra County, CA",38651
"cty30027","Fergus County, MT",38647
"cty27065","Kanabec County, MN",38640
"cty31157","Scotts Bluff County, NE",38634
"cty42103","Pike County, PA",38602
"cty19085","Harrison County, IA",38601
"cty27037","Dakota County, MN",38599
"cty21091","Hancock County, KY",38595
"cty42059","Greene County, PA",38591
"cty36059","Nassau County, NY",38588
"cty08051","Gunnison County, CO",38588
"cty20143","Ottawa County, KS",38575
"cty49025","Kane County, UT",38570
"cty54073","Pleasants County, WV",38565
"cty36085","Richmond County, NY",38548
"cty40009","Beckham County, OK",38541
"cty48497","Wise County, TX",38526
"cty27035","Crow Wing County, MN",38509
"cty29135","Moniteau County, MO",38501
"cty19169","Story County, IA",38475
"cty27131","Rice County, MN",38464
"cty48133","Eastland County, TX",38462
"cty42065","Jefferson County, PA",38439
"cty16035","Clearwater County, ID",38424
"cty16031","Cassia County, ID",38423
"cty19049","Dallas County, IA",38409
"cty34023","Middlesex County, NJ",38404
"cty48057","Calhoun County, TX",38402
"cty42131","Wyoming County, PA",38401
"cty42119","Union County, PA",38380
"cty30085","Roosevelt County, MT",38378
"cty55023","Crawford County, WI",38369
"cty17149","Pike County, IL",38364
"cty08115","Sedgwick County, CO",38339
"cty55131","Washington County, WI",38336
"cty49011","Davis County, UT",38323
"cty20041","Dickinson County, KS",38321
"cty48109","Culberson County, TX",38308
"cty08015","Chaffee County, CO",38304
"cty28039","George County, MS",38291
"cty27061","Itasca County, MN",38287
"cty30077","Powell County, MT",38256
"cty48391","Refugio County, TX",38256
"cty17027","Clinton County, IL",38240
