"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty30043","Jefferson County, MT",47236
"cty49051","Wasatch County, UT",47233
"cty16003","Adams County, ID",47198
"cty19075","Grundy County, IA",47170
"cty27101","Murray County, MN",47157
"cty46023","Charles Mix County, SD",47137
"cty31081","Hamilton County, NE",47121
"cty06075","San Francisco County, CA",47107
"cty46011","Brookings County, SD",47090
"cty46095","Mellette County, SD",47083
"cty19159","Ringgold County, IA",47051
"cty38021","Dickey County, ND",47048
"cty46101","Moody County, SD",47044
"cty30057","Madison County, MT",47025
"cty51059","Fairfax County, VA",46994
"cty31175","Valley County, NE",46984
"cty48003","Andrews County, TX",46969
"cty27029","Clearwater County, MN",46967
"cty19019","Buchanan County, IA",46952
"cty19097","Jackson County, IA",46952
"cty30015","Chouteau County, MT",46890
"cty46051","Grant County, SD",46886
"cty19017","Bremer County, IA",46844
"cty31123","Morrill County, NE",46819
"cty31057","Dundy County, NE",46805
"cty40025","Cimarron County, OK",46775
"cty31097","Johnson County, NE",46751
"cty20029","Cloud County, KS",46712
"cty19031","Cedar County, IA",46683
"cty31117","McPherson County, NE",46625
"cty19095","Iowa County, IA",46591
"cty41069","Wheeler County, OR",46582
"cty25007","Dukes County, MA",46535
"cty56031","Platte County, WY",46511
"cty48319","Mason County, TX",46490
"cty27103","Nicollet County, MN",46490
"cty20165","Rush County, KS",46461
"cty34027","Morris County, NJ",46282
"cty27093","Meeker County, MN",46249
"cty55011","Buffalo County, WI",46211
"cty27105","Nobles County, MN",46199
"cty29087","Holt County, MO",46124
"cty08019","Clear Creek County, CO",46089
"cty20051","Ellis County, KS",46067
"cty19067","Floyd County, IA",46052
"cty08103","Rio Blanco County, CO",46050
"cty31141","Platte County, NE",46040
"cty31093","Howard County, NE",46011
"cty56019","Johnson County, WY",45980
"cty31021","Burt County, NE",45969
"cty31183","Wheeler County, NE",45917
"cty30091","Sheridan County, MT",45901
"cty20063","Gove County, KS",45867
"cty40129","Roger Mills County, OK",45864
"cty48383","Reagan County, TX",45802
"cty27077","Lake of the Woods County, MN",45773
"cty27085","McLeod County, MN",45768
"cty20189","Stevens County, KS",45751
"cty19189","Winnebago County, IA",45694
"cty27167","Wilkin County, MN",45693
"cty56023","Lincoln County, WY",45689
"cty46013","Brown County, SD",45668
"cty29075","Gentry County, MO",45625
"cty40059","Harper County, OK",45618
"cty46083","Lincoln County, SD",45609
"cty19061","Dubuque County, IA",45592
"cty46127","Union County, SD",45582
"cty46129","Walworth County, SD",45549
"cty31147","Richardson County, NE",45542
