"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty22049","Jackson Parish, LA",34223
"cty08123","Weld County, CO",34222
"cty54007","Braxton County, WV",34222
"cty36093","Schenectady County, NY",34211
"cty29203","Shannon County, MO",34199
"cty40061","Haskell County, OK",34190
"cty22007","Assumption Parish, LA",34190
"cty51161","Roanoke County, VA",34188
"cty30077","Powell County, MT",34183
"cty21169","Metcalfe County, KY",34183
"cty20155","Reno County, KS",34178
"cty53053","Pierce County, WA",34177
"cty42011","Berks County, PA",34177
"cty25003","Berkshire County, MA",34176
"cty24003","Anne Arundel County, MD",34173
"cty51015","Augusta County, VA",34171
"cty48485","Wichita County, TX",34168
"cty48229","Hudspeth County, TX",34163
"cty12043","Glades County, FL",34161
"cty48331","Milam County, TX",34160
"cty48141","El Paso County, TX",34157
"cty26153","Schoolcraft County, MI",34144
"cty05009","Boone County, AR",34129
"cty40141","Tillman County, OK",34123
"cty29119","McDonald County, MO",34107
"cty42133","York County, PA",34098
"cty37043","Clay County, NC",34089
"cty40145","Wagoner County, OK",34079
"cty39161","Van Wert County, OH",34073
"cty44005","Newport County, RI",34072
"cty06115","Yuba County, CA",34069
"cty53071","Walla Walla County, WA",34064
"cty29219","Warren County, MO",34061
"cty05013","Calhoun County, AR",34046
"cty01117","Shelby County, AL",34046
"cty17005","Bond County, IL",34043
"cty41029","Jackson County, OR",34041
"cty36057","Montgomery County, NY",34035
"cty12115","Sarasota County, FL",34033
"cty29129","Mercer County, MO",34032
"cty05063","Independence County, AR",34030
"cty06029","Kern County, CA",34029
"cty51041","Chesterfield County, VA",34024
"cty37173","Swain County, NC",34023
"cty29109","Lawrence County, MO",34021
"cty39169","Wayne County, OH",34019
"cty41071","Yamhill County, OR",34016
"cty47101","Lewis County, TN",34009
"cty51810","Virginia Beach city, VA",34004
"cty42085","Mercer County, PA",33996
"cty36097","Schuyler County, NY",33993
"cty17039","De Witt County, IL",33987
"cty26137","Otsego County, MI",33984
"cty54057","Mineral County, WV",33980
"cty41045","Malheur County, OR",33976
"cty47083","Houston County, TN",33969
"cty05053","Grant County, AR",33954
"cty48017","Bailey County, TX",33951
"cty29079","Grundy County, MO",33950
"cty12085","Martin County, FL",33949
"cty28073","Lamar County, MS",33943
"cty33017","Strafford County, NH",33942
"cty26125","Oakland County, MI",33941
"cty32033","White Pine County, NV",33941
"cty21177","Muhlenberg County, KY",33932
"cty08109","Saguache County, CO",33931
"cty06065","Riverside County, CA",33929
"cty48469","Victoria County, TX",33928
"cty21215","Spencer County, KY",33918
"cty08027","Custer County, CO",33917
"cty17017","Cass County, IL",33916
"cty20145","Pawnee County, KS",33913
"cty54015","Clay County, WV",33909
"cty26097","Mackinac County, MI",33907
"cty53021","Franklin County, WA",33907
"cty53031","Jefferson County, WA",33897
"cty54033","Harrison County, WV",33895
"cty51145","Powhatan County, VA",33892
"cty29215","Texas County, MO",33880
"cty48419","Shelby County, TX",33880
"cty28155","Webster County, MS",33874
"cty22005","Ascension Parish, LA",33859
"cty36105","Sullivan County, NY",33858
"cty36003","Allegany County, NY",33848
"cty22087","St. Bernard Parish, LA",33847
"cty05105","Perry County, AR",33846
"cty48139","Ellis County, TX",33843
"cty12021","Collier County, FL",33839
"cty08055","Huerfano County, CO",33835
"cty06077","San Joaquin County, CA",33833
"cty54043","Lincoln County, WV",33833
"cty21207","Russell County, KY",33827
"cty41059","Umatilla County, OR",33825
"cty16077","Power County, ID",33824
"cty48145","Falls County, TX",33819
"cty48273","Kleberg County, TX",33817
"cty54045","Logan County, WV",33810
"cty18161","Union County, IN",33809
"cty20005","Atchison County, KS",33797
"cty37149","Polk County, NC",33797
"cty05127","Scott County, AR",33785
"cty17175","Stark County, IL",33782
"cty48057","Calhoun County, TX",33779
"cty51177","Spotsylvania County, VA",33779
"cty21157","Marshall County, KY",33773
"cty37113","Macon County, NC",33772
"cty40127","Pushmataha County, OK",33770
"cty40075","Kiowa County, OK",33766
"cty51113","Madison County, VA",33765
"cty06045","Mendocino County, CA",33762
"cty39167","Washington County, OH",33760
"cty51069","Frederick County, VA",33759
"cty05005","Baxter County, AR",33759
"cty24025","Harford County, MD",33752
"cty18153","Sullivan County, IN",33749
"cty22109","Terrebonne Parish, LA",33748
"cty18029","Dearborn County, IN",33743
"cty13111","Fannin County, GA",33736
"cty09011","New London County, CT",33731
"cty32001","Churchill County, NV",33729
"cty19163","Scott County, IA",33713
"cty19057","Des Moines County, IA",33712
"cty47111","Macon County, TN",33711
"cty13073","Columbia County, GA",33708
"cty22001","Acadia Parish, LA",33705
"cty36045","Jefferson County, NY",33703
"cty42087","Mifflin County, PA",33694
"cty35057","Torrance County, NM",33687
"cty05049","Fulton County, AR",33682
"cty48437","Swisher County, TX",33672
"cty26007","Alpena County, MI",33663
"cty29227","Worth County, MO",33653
"cty17197","Will County, IL",33650
"cty72097","Mayaguez Municipio, PR",33649
"cty36019","Clinton County, NY",33646
"cty48463","Uvalde County, TX",33641
"cty36017","Chenango County, NY",33635
"cty29099","Jefferson County, MO",33629
"cty53009","Clallam County, WA",33628
"cty54069","Ohio County, WV",33623
"cty48089","Colorado County, TX",33622
"cty48061","Cameron County, TX",33605
"cty21063","Elliott County, KY",33598
"cty20111","Lyon County, KS",33595
"cty39041","Delaware County, OH",33594
"cty41053","Polk County, OR",33593
"cty47181","Wayne County, TN",33589
"cty08011","Bent County, CO",33586
"cty24001","Allegany County, MD",33568
"cty18129","Posey County, IN",33566
"cty26115","Monroe County, MI",33565
"cty33007","Coos County, NH",33565
"cty41039","Lane County, OR",33561
"cty26091","Lenawee County, MI",33557
"cty06103","Tehama County, CA",33551
"cty40041","Delaware County, OK",33549
"cty48213","Henderson County, TX",33545
"cty51031","Campbell County, VA",33544
"cty42121","Venango County, PA",33525
"cty50003","Bennington County, VT",33517
"cty29167","Polk County, MO",33515
"cty22043","Grant Parish, LA",33511
"cty37189","Watauga County, NC",33510
"cty39005","Ashland County, OH",33504
"cty51133","Northumberland County, VA",33500
"cty54103","Wetzel County, WV",33496
"cty54105","Wirt County, WV",33488
"cty54079","Putnam County, WV",33483
"cty47103","Lincoln County, TN",33481
"cty26005","Allegan County, MI",33480
"cty41035","Klamath County, OR",33474
"cty48451","Tom Green County, TX",33474
"cty51051","Dickenson County, VA",33471
"cty30041","Hill County, MT",33464
"cty08041","El Paso County, CO",33452
"cty51775","Salem city, VA",33452
"cty22063","Livingston Parish, LA",33451
"cty26071","Iron County, MI",33443
"cty05143","Washington County, AR",33441
"cty20057","Ford County, KS",33436
"cty39135","Preble County, OH",33433
"cty48489","Willacy County, TX",33425
"cty18133","Putnam County, IN",33420
"cty41065","Wasco County, OR",33407
"cty18123","Perry County, IN",33405
"cty08089","Otero County, CO",33404
"cty48187","Guadalupe County, TX",33400
"cty31043","Dakota County, NE",33396
"cty30085","Roosevelt County, MT",33386
"cty21045","Casey County, KY",33375
"cty35049","Santa Fe County, NM",33373
"cty48079","Cochran County, TX",33370
"cty54091","Taylor County, WV",33369
"cty54067","Nicholas County, WV",33358
"cty02122","Kenai Peninsula Borough, AK",33356
"cty39063","Hancock County, OH",33351
"cty28005","Amite County, MS",33349
"cty53041","Lewis County, WA",33346
"cty48283","La Salle County, TX",33344
"cty72005","Aguadilla Municipio, PR",33339
"cty40035","Craig County, OK",33336
"cty22115","Vernon Parish, LA",33327
"cty20175","Seward County, KS",33319
"cty48355","Nueces County, TX",33315
"cty36011","Cayuga County, NY",33314
"cty24033","Prince George's County, MD",33309
"cty18113","Noble County, IN",33298
"cty48279","Lamb County, TX",33298
"cty48507","Zavala County, TX",33277
"cty06047","Merced County, CA",33274
"cty29213","Taney County, MO",33272
"cty17153","Pulaski County, IL",33269
"cty48325","Medina County, TX",33264
"cty08105","Rio Grande County, CO",33262
"cty04005","Coconino County, AZ",33257
"cty04003","Cochise County, AZ",33249
"cty21035","Calloway County, KY",33249
"cty18025","Crawford County, IN",33248
"cty39105","Meigs County, OH",33246
"cty18049","Fulton County, IN",33241
"cty40037","Creek County, OK",33239
"cty23001","Androscoggin County, ME",33235
"cty22053","Jefferson Davis Parish, LA",33234
"cty51071","Giles County, VA",33227
"cty48387","Red River County, TX",33220
"cty26101","Manistee County, MI",33215
"cty12011","Broward County, FL",33211
"cty41011","Coos County, OR",33209
"cty35023","Hidalgo County, NM",33209
"cty36033","Franklin County, NY",33207
"cty48013","Atascosa County, TX",33205
"cty29091","Howell County, MO",33199
"cty53059","Skamania County, WA",33193
"cty48401","Rusk County, TX",33191
"cty18145","Shelby County, IN",33189
"cty05025","Cleveland County, AR",33188
"cty13231","Pike County, GA",33177
"cty40013","Bryan County, OK",33166
"cty01057","Fayette County, AL",33162
"cty26073","Isabella County, MI",33160
"cty33001","Belknap County, NH",33158
"cty05029","Conway County, AR",33154
"cty23009","Hancock County, ME",33149
"cty51009","Amherst County, VA",33147
"cty21015","Boone County, KY",33147
"cty53077","Yakima County, WA",33145
"cty26133","Osceola County, MI",33144
"cty17077","Jackson County, IL",33143
"cty48455","Trinity County, TX",33143
"cty39171","Williams County, OH",33132
"cty55001","Adams County, WI",33130
"cty48471","Walker County, TX",33128
"cty05089","Marion County, AR",33126
"cty06023","Humboldt County, CA",33121
"cty13281","Towns County, GA",33121
"cty05121","Randolph County, AR",33117
"cty05023","Cleburne County, AR",33115
"cty05083","Logan County, AR",33102
"cty32031","Washoe County, NV",33100
"cty40113","Osage County, OK",33096
"cty06069","San Benito County, CA",33093
"cty51197","Wythe County, VA",33092
"cty36067","Onondaga County, NY",33090
"cty48287","Lee County, TX",33085
"cty40081","Lincoln County, OK",33078
"cty17101","Lawrence County, IL",33078
"cty01059","Franklin County, AL",33074
"cty29127","Marion County, MO",33067
"cty29039","Cedar County, MO",33065
"cty48177","Gonzales County, TX",33064
"cty47039","Decatur County, TN",33063
"cty02150","Kodiak Island Borough, AK",33058
"cty08065","Lake County, CO",33057
"cty47165","Sumner County, TN",33055
"cty48167","Galveston County, TX",33053
"cty40107","Okfuskee County, OK",33039
"cty39031","Coshocton County, OH",33038
"cty01041","Crenshaw County, AL",33022
"cty51139","Page County, VA",33019
"cty06021","Glenn County, CA",33016
"cty37089","Henderson County, NC",33001
"cty21217","Taylor County, KY",33000
"cty21103","Henry County, KY",32999
"cty40019","Carter County, OK",32997
"cty02195","Petersburg Borough, AK",32995
"cty40031","Comanche County, OK",32993
"cty40065","Jackson County, OK",32993
"cty21001","Adair County, KY",32993
"cty48479","Webb County, TX",32993
"cty48129","Donley County, TX",32984
"cty12059","Holmes County, FL",32981
"cty16027","Canyon County, ID",32980
"cty18081","Johnson County, IN",32978
"cty26009","Antrim County, MI",32977
"cty21123","Larue County, KY",32973
"cty35009","Curry County, NM",32971
"cty18023","Clinton County, IN",32965
"cty29031","Cape Girardeau County, MO",32963
"cty48345","Motley County, TX",32957
"cty05065","Izard County, AR",32951
"cty38079","Rolette County, ND",32950
"cty40063","Hughes County, OK",32949
"cty18151","Steuben County, IN",32948
"cty22097","St. Landry Parish, LA",32948
"cty37005","Alleghany County, NC",32939
"cty34033","Salem County, NJ",32937
"cty26123","Newaygo County, MI",32936
"cty23025","Somerset County, ME",32929
"cty22055","Lafayette Parish, LA",32926
"cty41009","Columbia County, OR",32925
"cty12091","Okaloosa County, FL",32919
"cty36013","Chautauqua County, NY",32915
"cty48163","Frio County, TX",32915
"cty48265","Kerr County, TX",32912
"cty28019","Choctaw County, MS",32907
"cty18071","Jackson County, IN",32906
"cty17161","Rock Island County, IL",32901
"cty29229","Wright County, MO",32898
"cty18115","Ohio County, IN",32894
"cty21089","Greenup County, KY",32891
"cty51103","Lancaster County, VA",32888
"cty20125","Montgomery County, KS",32886
"cty18179","Wells County, IN",32883
"cty21009","Barren County, KY",32880
"cty18149","Starke County, IN",32879
"cty37095","Hyde County, NC",32879
"cty47141","Putnam County, TN",32878
"cty48081","Coke County, TX",32878
"cty29019","Boone County, MO",32877
"cty48127","Dimmit County, TX",32865
"cty18013","Brown County, IN",32860
"cty17179","Tazewell County, IL",32858
"cty39065","Hardin County, OH",32855
"cty51121","Montgomery County, VA",32854
"cty39045","Fairfield County, OH",32854
"cty54019","Fayette County, WV",32853
"cty26059","Hillsdale County, MI",32850
"cty22125","West Feliciana Parish, LA",32849
"cty37011","Avery County, NC",32841
"cty47189","Wilson County, TN",32836
"cty48119","Delta County, TX",32832
"cty54005","Boone County, WV",32826
"cty40121","Pittsburg County, OK",32817
"cty17019","Champaign County, IL",32813
"cty48439","Tarrant County, TX",32813
"cty54027","Hampshire County, WV",32805
"cty35041","Roosevelt County, NM",32796
"cty12067","Lafayette County, FL",32783
"cty32023","Nye County, NV",32781
"cty26015","Barry County, MI",32779
"cty54041","Lewis County, WV",32770
"cty48407","San Jacinto County, TX",32769
"cty41051","Multnomah County, OR",32767
"cty04013","Maricopa County, AZ",32762
"cty48153","Floyd County, TX",32761
"cty17007","Boone County, IL",32759
"cty05133","Sevier County, AR",32745
"cty36075","Oswego County, NY",32739
"cty23017","Oxford County, ME",32739
"cty25013","Hampden County, MA",32738
"cty41013","Crook County, OR",32734
"cty39029","Columbiana County, OH",32730
"cty48107","Crosby County, TX",32727
"cty26161","Washtenaw County, MI",32720
"cty17137","Morgan County, IL",32716
"cty22075","Plaquemines Parish, LA",32707
"cty12017","Citrus County, FL",32705
"cty39077","Huron County, OH",32700
"cty22003","Allen Parish, LA",32699
"cty35013","Do±íáüna County, NM",32693
"cty51125","Nelson County, VA",32689
"cty54021","Gilmer County, WV",32679
"cty21107","Hopkins County, KY",32677
"cty42023","Cameron County, PA",32675
"cty21059","Daviess County, KY",32661
"cty21163","Meade County, KY",32658
"cty48379","Rains County, TX",32657
"cty48041","Brazos County, TX",32651
"cty29131","Miller County, MO",32646
"cty26017","Bay County, MI",32644
"cty40111","Okmulgee County, OK",32642
"cty54009","Brooke County, WV",32635
"cty35045","San Juan County, NM",32631
"cty20001","Allen County, KS",32631
"cty26135","Oscoda County, MI",32628
"cty18107","Montgomery County, IN",32622
"cty41043","Linn County, OR",32618
"cty37029","Camden County, NC",32617
"cty26129","Ogemaw County, MI",32617
"cty35035","Otero County, NM",32614
"cty31055","Douglas County, NE",32608
"cty17009","Brown County, IL",32605
"cty48343","Morris County, TX",32604
"cty32510","Carson City, NV",32596
"cty54081","Raleigh County, WV",32596
"cty48049","Brown County, TX",32593
"cty36035","Fulton County, NY",32585
"cty13103","Effingham County, GA",32580
"cty48445","Terry County, TX",32578
"cty06053","Monterey County, CA",32577
"cty28141","Tishomingo County, MS",32573
"cty17177","Stephenson County, IL",32567
"cty21011","Bath County, KY",32566
"cty37009","Ashe County, NC",32563
"cty21127","Lawrence County, KY",32560
"cty40115","Ottawa County, OK",32550
"cty48031","Blanco County, TX",32547
"cty48241","Jasper County, TX",32547
"cty48363","Palo Pinto County, TX",32543
"cty51075","Goochland County, VA",32541
"cty17181","Union County, IL",32541
"cty17199","Williamson County, IL",32539
"cty48181","Grayson County, TX",32528
"cty41019","Douglas County, OR",32526
"cty26111","Midland County, MI",32526
"cty01031","Coffee County, AL",32526
"cty72119","Rio Grande Municipio, PR",32517
"cty51187","Warren County, VA",32513
"cty29117","Livingston County, MO",32510
"cty48373","Polk County, TX",32490
"cty26029","Charlevoix County, MI",32487
"cty34021","Mercer County, NJ",32479
"cty53003","Asotin County, WA",32475
"cty26085","Lake County, MI",32473
"cty39097","Madison County, OH",32472
"cty29197","Schuyler County, MO",32472
"cty47031","Coffee County, TN",32462
"cty29007","Audrain County, MO",32454
"cty36117","Wayne County, NY",32450
"cty29161","Phelps County, MO",32446
"cty09015","Windham County, CT",32438
"cty37073","Gates County, NC",32437
"cty18125","Pike County, IN",32428
"cty08001","Adams County, CO",32423
"cty51001","Accomack County, VA",32423
"cty13187","Lumpkin County, GA",32423
"cty47161","Stewart County, TN",32416
"cty22051","Jefferson Parish, LA",32410
"cty39117","Morrow County, OH",32405
"cty18135","Randolph County, IN",32398
"cty05115","Pope County, AR",32393
"cty48293","Limestone County, TX",32391
"cty29009","Barry County, MO",32373
"cty26105","Mason County, MI",32371
"cty32013","Humboldt County, NV",32369
"cty41015","Curry County, OR",32367
"cty17089","Kane County, IL",32365
"cty37183","Wake County, NC",32360
"cty48275","Knox County, TX",32356
"cty21085","Grayson County, KY",32356
"cty13067","Cobb County, GA",32348
"cty17119","Madison County, IL",32346
"cty48183","Gregg County, TX",32346
"cty20055","Finney County, KS",32343
"cty47015","Cannon County, TN",32341
"cty48423","Smith County, TX",32332
"cty08003","Alamosa County, CO",32331
"cty51159","Richmond County, VA",32329
"cty06107","Tulare County, CA",32322
"cty26147","St. Clair County, MI",32316
"cty48453","Travis County, TX",32315
"cty17081","Jefferson County, IL",32306
"cty48247","Jim Hogg County, TX",32306
"cty42049","Erie County, PA",32297
"cty29077","Greene County, MO",32297
"cty32019","Lyon County, NV",32293
"cty26035","Clare County, MI",32280
"cty48021","Bastrop County, TX",32272
"cty48245","Jefferson County, TX",32267
"cty54023","Grant County, WV",32266
"cty34007","Camden County, NJ",32259
"cty41041","Lincoln County, OR",32257
"cty29223","Wayne County, MO",32246
"cty13291","Union County, GA",32246
"cty48005","Angelina County, TX",32241
"cty21031","Butler County, KY",32217
"cty18165","Vermillion County, IN",32213
"cty54065","Morgan County, WV",32212
"cty23019","Penobscot County, ME",32209
"cty18175","Washington County, IN",32208
"cty17121","Marion County, IL",32204
"cty23027","Waldo County, ME",32191
"cty47035","Cumberland County, TN",32179
"cty13025","Brantley County, GA",32176
"cty40015","Caddo County, OK",32153
"cty29055","Crawford County, MO",32150
"cty26143","Roscommon County, MI",32149
"cty48185","Grimes County, TX",32147
"cty21223","Trimble County, KY",32140
"cty29159","Pettis County, MO",32135
"cty04015","Mohave County, AZ",32127
"cty26067","Ionia County, MI",32123
"cty39109","Miami County, OH",32112
"cty12113","Santa Rosa County, FL",32110
"cty17029","Coles County, IL",32108
"cty51685","Manassas Park city, VA",32085
"cty51095","James City County, VA",32083
"cty23023","Sagadahoc County, ME",32081
"cty48217","Hill County, TX",32080
"cty01093","Marion County, AL",32079
"cty40143","Tulsa County, OK",32076
"cty04009","Graham County, AZ",32074
"cty36063","Niagara County, NY",32074
"cty13029","Bryan County, GA",32072
"cty29195","Saline County, MO",32068
"cty21005","Anderson County, KY",32060
"cty48029","Bexar County, TX",32057
"cty39099","Mahoning County, OH",32052
"cty51037","Charlotte County, VA",32037
"cty29189","St. Louis County, MO",32030
"cty21043","Carter County, KY",32030
"cty54059","Mingo County, WV",32030
"cty40091","McIntosh County, OK",32027
"cty01043","Cullman County, AL",32023
"cty26031","Cheboygan County, MI",32010
"cty48117","Deaf Smith County, TX",32004
"cty22019","Calcasieu Parish, LA",32002
"cty47137","Pickett County, TN",32002
"cty21099","Hart County, KY",32001
"cty17165","Saline County, IL",31991
"cty51087","Henrico County, VA",31989
"cty16061","Lewis County, ID",31988
"cty21221","Trigg County, KY",31986
"cty17095","Knox County, IL",31986
"cty01115","St. Clair County, AL",31984
"cty47159","Smith County, TN",31983
"cty51067","Franklin County, VA",31977
"cty29123","Madison County, MO",31974
"cty12131","Walton County, FL",31967
"cty51065","Fluvanna County, VA",31964
"cty13177","Lee County, GA",31963
"cty22107","Tensas Parish, LA",31958
"cty26023","Branch County, MI",31957
"cty21109","Jackson County, KY",31955
"cty51149","Prince George County, VA",31945
"cty21033","Caldwell County, KY",31938
"cty18039","Elkhart County, IN",31935
"cty21083","Graves County, KY",31928
"cty01027","Clay County, AL",31925
"cty12099","Palm Beach County, FL",31920
"cty02220","Sitka City and Borough, AK",31918
"cty34013","Essex County, NJ",31916
"cty48231","Hunt County, TX",31914
"cty21069","Fleming County, KY",31912
"cty06015","Del Norte County, CA",31910
"cty18021","Clay County, IN",31909
"cty18117","Orange County, IN",31903
"cty28045","Hancock County, MS",31903
"cty36055","Monroe County, NY",31897
"cty12133","Washington County, FL",31890
"cty29169","Pulaski County, MO",31884
"cty51035","Carroll County, VA",31882
"cty01061","Geneva County, AL",31881
"cty21061","Edmonson County, KY",31880
"cty40033","Cotton County, OK",31874
"cty18059","Hancock County, IN",31871
"cty48353","Nolan County, TX",31867
"cty41047","Marion County, OR",31862
"cty41025","Harney County, OR",31860
"cty26155","Shiawassee County, MI",31857
"cty13011","Banks County, GA",31848
"cty26127","Oceana County, MI",31838
"cty18033","DeKalb County, IN",31835
"cty02020","Anchorage Municipality, AK",31832
"cty51181","Surry County, VA",31823
"cty18031","Decatur County, IN",31805
"cty20173","Sedgwick County, KS",31802
"cty24043","Washington County, MD",31801
"cty21093","Hardin County, KY",31799
"cty51141","Patrick County, VA",31798
"cty54089","Summers County, WV",31798
"cty48277","Lamar County, TX",31783
"cty36107","Tioga County, NY",31781
"cty26069","Iosco County, MI",31777
"cty26033","Chippewa County, MI",31775
"cty54085","Ritchie County, WV",31750
"cty12009","Brevard County, FL",31742
"cty40135","Sequoyah County, OK",31741
"cty55105","Rock County, WI",31734
"cty21133","Letcher County, KY",31724
"cty47021","Cheatham County, TN",31718
"cty48035","Bosque County, TX",31702
"cty26149","St. Joseph County, MI",31701
"cty18075","Jay County, IN",31695
"cty01071","Jackson County, AL",31681
"cty02130","Ketchikan Gateway Borough, AK",31667
"cty47133","Overton County, TN",31664
"cty47043","Dickson County, TN",31658
"cty42043","Dauphin County, PA",31655
"cty37099","Jackson County, NC",31650
"cty13249","Schley County, GA",31647
"cty48303","Lubbock County, TX",31644
"cty29097","Jasper County, MO",31639
"cty47067","Hancock County, TN",31637
"cty39033","Crawford County, OH",31637
"cty35047","San Miguel County, NM",31636
"cty51175","Southampton County, VA",31633
"cty51099","King George County, VA",31632
"cty01039","Covington County, AL",31624
"cty20177","Shawnee County, KS",31620
"cty22009","Avoyelles Parish, LA",31607
"cty12109","St. Johns County, FL",31606
"cty48257","Kaufman County, TX",31594
"cty22127","Winn Parish, LA",31594
"cty48067","Cass County, TX",31586
"cty06019","Fresno County, CA",31584
"cty36005","Bronx County, NY",31581
"cty39091","Logan County, OH",31580
"cty05055","Greene County, AR",31579
"cty12097","Osceola County, FL",31578
"cty17091","Kankakee County, IL",31572
"cty17031","Cook County, IL",31563
"cty41031","Jefferson County, OR",31559
"cty12103","Pinellas County, FL",31552
"cty13227","Pickens County, GA",31546
"cty39057","Greene County, OH",31546
"cty48075","Childress County, TX",31543
"cty37121","Mitchell County, NC",31538
"cty48487","Wilbarger County, TX",31535
"cty21029","Bullitt County, KY",31526
"cty48099","Coryell County, TX",31510
"cty39015","Brown County, OH",31504
"cty51033","Caroline County, VA",31495
"cty39059","Guernsey County, OH",31494
"cty32003","Clark County, NV",31493
"cty05031","Craighead County, AR",31491
"cty51077","Grayson County, VA",31489
"cty51047","Culpeper County, VA",31486
"cty54029","Hancock County, WV",31484
"cty35001","Bernalillo County, NM",31466
"cty47051","Franklin County, TN",31463
"cty48147","Fannin County, TX",31462
"cty18077","Jefferson County, IN",31455
"cty28109","Pearl River County, MS",31442
"cty39143","Sandusky County, OH",31442
"cty48055","Caldwell County, TX",31440
"cty39089","Licking County, OH",31438
"cty13049","Charlton County, GA",31435
"cty24015","Cecil County, MD",31432
"cty53015","Cowlitz County, WA",31430
"cty55101","Racine County, WI",31430
"cty13137","Habersham County, GA",31425
"cty48351","Newton County, TX",31420
"cty22029","Concordia Parish, LA",31418
"cty13039","Camden County, GA",31413
"cty51195","Wise County, VA",31413
"cty29207","Stoddard County, MO",31406
"cty01077","Lauderdale County, AL",31391
"cty02090","Fairbanks North Star Borough, AK",31386
"cty18017","Cass County, IN",31383
"cty21195","Pike County, KY",31383
"cty39027","Clinton County, OH",31367
"cty51840","Winchester city, VA",31367
"cty12071","Lee County, FL",31361
"cty45035","Dorchester County, SC",31360
"cty12049","Hardee County, FL",31359
"cty28121","Rankin County, MS",31357
"cty21037","Campbell County, KY",31353
"cty17125","Mason County, IL",31349
"cty28091","Marion County, MS",31338
"cty40125","Pottawatomie County, OK",31337
"cty40109","Oklahoma County, OK",31337
"cty51750","Radford city, VA",31334
"cty51550","Chesapeake city, VA",31311
"cty21231","Wayne County, KY",31311
"cty46137","Ziebach County, SD",31310
"cty12041","Gilchrist County, FL",31308
"cty54099","Wayne County, WV",31297
"cty37039","Cherokee County, NC",31292
"cty39007","Ashtabula County, OH",31291
"cty05149","Yell County, AR",31286
"cty29225","Webster County, MO",31286
"cty54083","Randolph County, WV",31274
"cty29027","Callaway County, MO",31265
"cty21121","Knox County, KY",31263
"cty20103","Leavenworth County, KS",31262
"cty26117","Montcalm County, MI",31255
"cty22099","St. Martin Parish, LA",31253
"cty12053","Hernando County, FL",31248
"cty18109","Morgan County, IN",31248
"cty40133","Seminole County, OK",31242
"cty18079","Jennings County, IN",31232
"cty47109","McNairy County, TN",31226
"cty26057","Gratiot County, MI",31216
"cty06031","Kings County, CA",31208
"cty04007","Gila County, AZ",31207
"cty21213","Simpson County, KY",31207
"cty48189","Hale County, TX",31197
"cty24047","Worcester County, MD",31197
"cty47175","Van Buren County, TN",31193
"cty01049","DeKalb County, AL",31190
"cty35043","Sandoval County, NM",31183
"cty39081","Jefferson County, OH",31183
"cty48313","Madison County, TX",31181
"cty28129","Smith County, MS",31177
"cty47023","Chester County, TN",31175
"cty21081","Grant County, KY",31175
"cty35007","Colfax County, NM",31174
"cty54053","Mason County, WV",31165
"cty47147","Robertson County, TN",31163
"cty53045","Mason County, WA",31157
"cty54107","Wood County, WV",31149
"cty02100","Haines Borough, AK",31146
"cty26019","Benzie County, MI",31143
"cty05135","Sharp County, AR",31142
"cty37143","Perquimans County, NC",31135
"cty01009","Blount County, AL",31129
"cty05075","Lawrence County, AR",31124
"cty51079","Greene County, VA",31123
"cty37031","Carteret County, NC",31122
"cty21071","Floyd County, KY",31121
"cty30033","Garfield County, MT",31117
"cty01045","Dale County, AL",31111
"cty24045","Wicomico County, MD",31111
"cty28147","Walthall County, MS",31111
"cty39025","Clermont County, OH",31106
"cty05059","Hot Spring County, AR",31104
"cty37135","Orange County, NC",31096
"cty47149","Rutherford County, TN",31093
"cty08025","Crowley County, CO",31084
"cty48385","Real County, TX",31083
"cty21039","Carlisle County, KY",31077
"cty21187","Owen County, KY",31075
"cty32021","Mineral County, NV",31072
"cty37087","Haywood County, NC",31069
"cty21165","Menifee County, KY",31057
"cty54037","Jefferson County, WV",31049
"cty12127","Volusia County, FL",31048
"cty21041","Carroll County, KY",31047
"cty39155","Trumbull County, OH",31043
"cty12005","Bay County, FL",31038
"cty37115","Madison County, NC",31030
"cty47129","Morgan County, TN",31030
"cty21227","Warren County, KY",31020
"cty21095","Harlan County, KY",31010
"cty47085","Humphreys County, TN",31001
"cty22021","Caldwell Parish, LA",30995
"cty39043","Erie County, OH",30992
"cty51019","Bedford County, VA",30992
"cty39151","Stark County, OH",30977
"cty51163","Rockbridge County, VA",30976
"cty04019","Pima County, AZ",30975
"cty39021","Champaign County, OH",30968
"cty51109","Louisa County, VA",30954
"cty47055","Giles County, TN",30952
"cty26165","Wexford County, MI",30939
"cty26077","Kalamazoo County, MI",30935
"cty54035","Jackson County, WV",30934
"cty01003","Baldwin County, AL",30932
"cty05131","Sebastian County, AR",30931
"cty26027","Cass County, MI",30925
"cty26065","Ingham County, MI",30914
"cty30061","Mineral County, MT",30913
"cty51660","Harrisonburg city, VA",30910
"cty21025","Breathitt County, KY",30907
"cty51005","Alleghany County, VA",30903
"cty22041","Franklin Parish, LA",30902
"cty29105","Laclede County, MO",30900
"cty39053","Gallia County, OH",30893
"cty37133","Onslow County, NC",30891
"cty06039","Madera County, CA",30877
"cty51830","Williamsburg city, VA",30876
"cty48073","Cherokee County, TX",30871
"cty26081","Kent County, MI",30869
"cty10001","Kent County, DE",30863
"cty18019","Clark County, IN",30853
"cty17167","Sangamon County, IL",30850
